SlogP_VSA4,PEOE_VSA10,EState_VSA7,BCUT2D_LOGPLOW,VSA_EState3,Tertiary_Amines,EState_VSA8,Aromatic_Hydroxyl,PEOE_VSA6,SlogP_VSA11,FpDensityMorgan3,Aryl_Methyl,MinEStateIndex,EState_VSA9,SPS,Secondary_Amines,VSA_EState5,PEOE_VSA1,NumRotatableBonds,MaxEStateIndex
6.9237372,0,24.26546827,-2.545223133,0,1,55.45467375,0,65.11457461,0,1.133333333,7,-6.058299238,0,14.26666667,4,-3.983871781,0,9,15.04375304
6.9237372,0,24.26546827,-2.54522328,0,1,79.72014202,0,76.87645956,0,1.014925373,7,-6.063218332,0,13.97014925,4,-3.991168521,0,11,15.0890112
27.6949488,0,33.76131587,-2.307054698,0,1,0,0,6.066367068,0,1.638888889,8,-4.156283966,0,15.13888889,4,-2.203617748,0,3,13.41512991
27.6949488,0,33.76131587,-2.306919073,0,1,0,0,17.82825202,0,1.705882353,8,-0.339578082,0,14.85294118,4,-1.299910265,0,3,13.38966695
27.6949488,0,33.76131587,-2.25288708,0.648164105,0,0,0,6.066367068,0,1.518518519,4,-0.47031935,0,11.74074074,0,0,0,1,13.0731113
18.55817888,11.63444168,0,-2.232943875,-0.009465823,0,0,0,12.13273414,0,1.59375,1,-0.808996318,0,11.625,0,-1.400479423,0,2,14.87953795
6.9237372,0,6.9237372,-2.312840821,0,0,0,0,41.9616539,0,1.65,8,-0.636784646,0,14.05,2,-2.779877799,0,5,13.4412673
6.9237372,0,0,-2.543485234,0,1,0,0,72.29348924,0,1.381818182,11,-5.839078752,0,14.4,4,-4.167428635,0,7,14.58686672
6.9237372,0,27.6949488,-2.312844314,0,0,0,0,44.5337643,0,1.659090909,9,-0.63643228,0,14.29545455,2,-2.760770994,0,5,13.62684947
6.9237372,0,37.25557254,-2.31284173,0,0,0,0,54.09438804,0,1.673913043,8,-0.646067436,0,13.69565217,2,-2.838633138,0,6,13.72142131
6.9237372,0,0,-2.543485346,0,1,0,0,84.42622338,0,1.409836066,11,-5.851122378,0,14.09836066,4,-4.234985,0,8,14.69536149
